Joueur,�ge,Position,Ligue,�quipe,Matchs jou�s,Titularisations,Minutes jou�es,Matches �quivalents 90 minutes,Buts,Passes d�cisives,Buts + Passes d�cisives,Buts hors penalty,Penalty marqu�s,Penalty tent�s,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes d�cisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,R�ceptions progressives ,Buts par 90 minutes,Passes d�cisives par 90 minutes,Buts + Passes d�cisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes d�cisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (�quivalents 90 minutes),Actions menant � un tir,Actions menant � un tir par 90 minutes ,Passes vivantes menant � un tir,Passes arr�t�es menant � un tir,Ballons perdus menant � un tir,Tirs menant � un tir,Fautes subies menant � un tir,Actions d�fensives menant � un tir,Actions menant � un but,Actions menant � un but par 90 minutes,Passes vivantes menant � un but,Passes arr�t�es menant � un but,Ballons perdus menant � un but,Tirs menant � un but,Fautes subies menant � un but ,Actions d�fensives menant � un but,Passes r�ussies totales,Passes tent�es totales,Pourcentage de r�ussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes r�ussies,Passes courtes tent�es,Pourcentage de r�ussite des passes courtes,Passes moyennes r�ussies,Passes moyennes tent�es,Pourcentage de r�ussite des passes moyennes,Passes longues r�ussies,Passes longues tent�es,Pourcentage de r�ussite des passes longues,Passes d�cisives,Passes d�cisives attendues (xAG),Passes attendues ,Diff�rence entre passes attendues et xAG,Passes cl�s,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles r�ussis,Penalty obtenus,Penalty conc�d�s,Buts contre son camp,Ballons r�cup�r�s,Duels a�riens gagn�s,Duels a�riens perdus,Pourcentage de duels a�riens gagn�s,Buts,Tirs,Tirs cadr�s,Pourcentage de tirs cadr�s,Tirs par 90 minutes,Tirs cadr�s par 90 minutes,Buts par tir,Buts par tir cadr� ,Distance moyenne des tirs,Coups francs,Penalty marqu�s,Penalty tent�s,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Diff�rence entre buts r�els et xG ,Diff�rence entre buts r�els hors penalty et npxG,Tacles,Tacles r�ussis,Tacles dans le tiers d�fensif,Tacles dans le tiers m�dian,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tent�s,Pourcentage de tacles r�ussis Tkl%,Duels perdus,Contres,Tirs contr�s ,Passes cntr�es ,Interceptions ,Tacles + Interceptions,D�gagements,Erreurs ayant conduit � un tir adverse,Minutes par match ,Pourcentage de minutes jou�es ,Titularisations,Minutes par titularisation ,Matches compl�t�s,Rempla�ants,Minutes par entr�e,Matches non remplac�,Points par match,Buts marqu�s avec le joueur,Buts encaiss�s avec le joueur,Diff�rence de buts avec le joueur,Diff�rence de buts par 90 minutes,Diff�rence avec/sans le joueur,xG marqu�s avec le joueur ,xG encaiss�s avec le joueur,Diff�rence de xG avec le joueur,Diff�rence de xG par 90 minutes,Diff�rence de xG avec/sans le joueur,Touches,Touches dans la surface d�fensive,Touches dans le tiers d�fensif,Touches dans le tier m�dian,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tent�s,Dribbles r�ussis,Pourcentage de dribbles r�ussis,Ballons perdus apr�s dribble,Pourcentage de ballons perdus apr�s dribble,Port�es de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Pablo Rosario,26.0,Midfielder,Ligue 1,Nice,30.0,21.0,2009.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,1.4,2.6,20.0,93.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,22.3,39.0,1.75,34.0,1.0,0.0,1.0,2.0,1.0,5.0,0.22,2.0,0.0,0.0,1.0,2.0,0.0,1056.0,1187.0,89.0,17440.0,5722.0,478.0,524.0,91.2,496.0,534.0,92.9,52.0,80.0,65.0,0.0,1.4,1.5,-1.4,17.0,81.0,14.0,3.0,93.0,0.0,18.0,19.0,1.0,6.0,29.0,25.0,1.0,1.0,0.0,92.0,35.0,22.0,61.4,0.0,16.0,2.0,12.5,0.72,0.09,0.0,0.0,13.1,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,36.0,25.0,15.0,16.0,5.0,23.0,34.0,67.6,11.0,27.0,13.0,14.0,29.0,65.0,39.0,0.0,67.0,65.7,21.0,86.0,16.0,9.0,23.0,2.0,1.67,30.0,23.0,7.0,0.31,-0.03,33.5,25.7,7.8,0.35,-0.21,1398.0,80.0,425.0,814.0,164.0,22.0,1398.0,20.0,11.0,55.0,8.0,40.0,1031.0,4765.0,2214.0,20.0,19.0,2.0
Valentin Rosier,26.0,Defender,Ligue 1,Nice,3.0,0.0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.31,0.07,0.31,0.6,4.0,6.92,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,84.8,401.0,158.0,15.0,17.0,88.2,11.0,12.0,91.7,0.0,2.0,0.0,0.0,0.1,0.1,-0.1,2.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,1.7,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,0.0,18.0,1.7,0.0,0.0,0.0,3.0,18.0,2.0,0.67,0.0,0.0,0.0,0.0,-0.33,0.6,1.1,-0.5,-0.92,-1.37,47.0,3.0,13.0,20.0,15.0,3.0,47.0,1.0,0.0,0.0,1.0,100.0,24.0,196.0,102.0,3.0,3.0,1.0
Francesco Rossi,32.0,Goalkeeper,Serie A,Atalanta,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,14.0,13.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,1.0,5.0,34.0,3.0,0.0,0.0,0.0,0.0,-0.79,0.1,0.6,-0.5,-8.59,-9.05,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0
Joe Rothwell,28.0,Midfielder,Premier League,Bournemouth,11.0,3.0,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,6.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,4.3,12.0,2.8,6.0,3.0,1.0,1.0,1.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,179.0,216.0,82.9,3185.0,863.0,65.0,68.0,95.6,100.0,108.0,92.6,10.0,30.0,33.3,0.0,0.2,0.2,-0.2,4.0,20.0,1.0,0.0,20.0,0.0,4.0,2.0,0.0,12.0,3.0,2.0,0.0,1.0,0.0,32.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.47,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,7.0,2.0,4.0,2.0,1.0,2.0,8.0,25.0,6.0,4.0,2.0,2.0,3.0,10.0,2.0,0.0,35.0,11.3,3.0,70.0,1.0,8.0,22.0,8.0,1.18,4.0,12.0,-8.0,-1.87,-1.72,4.0,11.2,-7.2,-1.68,-1.83,251.0,8.0,49.0,147.0,56.0,1.0,251.0,13.0,7.0,53.8,4.0,30.8,140.0,862.0,437.0,6.0,4.0,0.0
Anthony Rouault,22.0,Defender,Bundesliga,Stuttgart,22.0,11.0,1010.0,11.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.8,0.9,8.0,68.0,10.0,0.0,0.18,0.18,0.0,0.18,0.01,0.07,0.08,0.01,0.08,11.2,18.0,1.6,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.36,4.0,0.0,0.0,0.0,0.0,0.0,824.0,931.0,88.5,13730.0,5543.0,406.0,435.0,93.3,344.0,373.0,92.2,61.0,90.0,67.8,2.0,0.8,1.2,1.2,8.0,64.0,5.0,1.0,68.0,0.0,9.0,4.0,1.0,3.0,8.0,12.0,0.0,1.0,0.0,58.0,19.0,27.0,41.3,0.0,3.0,1.0,33.3,0.27,0.09,0.0,0.0,24.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,21.0,12.0,14.0,5.0,2.0,13.0,21.0,61.9,8.0,14.0,8.0,6.0,8.0,29.0,28.0,0.0,46.0,33.0,11.0,77.0,5.0,11.0,15.0,4.0,2.18,27.0,15.0,12.0,1.07,-0.12,21.2,11.8,9.4,0.84,-0.19,1030.0,75.0,385.0,571.0,76.0,5.0,1030.0,6.0,2.0,33.3,4.0,66.7,639.0,2713.0,1556.0,8.0,5.0,0.0
Jérôme Roussillon,30.0,Defender,Bundesliga,Union Berlin,23.0,8.0,752.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,10.0,38.0,29.0,0.0,0.12,0.12,0.0,0.12,0.04,0.07,0.11,0.04,0.11,8.4,20.0,2.39,14.0,0.0,2.0,1.0,1.0,2.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0,263.0,355.0,74.1,4307.0,2077.0,135.0,160.0,84.4,105.0,137.0,76.6,18.0,39.0,46.2,1.0,0.6,0.6,0.4,8.0,21.0,6.0,3.0,38.0,0.0,4.0,10.0,0.0,21.0,5.0,9.0,0.0,0.0,0.0,52.0,9.0,8.0,52.9,0.0,7.0,4.0,57.1,0.84,0.48,0.0,0.0,20.4,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,16.0,9.0,6.0,7.0,3.0,8.0,12.0,66.7,4.0,13.0,4.0,9.0,5.0,21.0,26.0,0.0,33.0,24.6,8.0,72.0,2.0,15.0,12.0,3.0,1.13,10.0,12.0,-2.0,-0.24,0.66,8.4,14.4,-6.0,-0.72,-0.55,462.0,28.0,141.0,210.0,121.0,6.0,462.0,11.0,5.0,45.5,5.0,45.5,217.0,931.0,516.0,10.0,9.0,2.0
Nicolò Rovella,21.0,Midfielder,Serie A,Lazio,23.0,16.0,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.1,21.0,56.0,11.0,0.0,0.14,0.14,0.0,0.14,0.04,0.03,0.08,0.04,0.08,14.6,22.0,1.5,16.0,2.0,1.0,0.0,1.0,2.0,4.0,0.27,4.0,0.0,0.0,0.0,0.0,0.0,851.0,976.0,87.2,14115.0,3415.0,412.0,437.0,94.3,351.0,381.0,92.1,66.0,104.0,63.5,2.0,0.5,0.6,1.5,10.0,68.0,5.0,0.0,56.0,0.0,38.0,16.0,0.0,20.0,23.0,28.0,0.0,0.0,0.0,99.0,11.0,9.0,55.0,0.0,5.0,1.0,20.0,0.34,0.07,0.0,0.0,26.4,1.0,0.0,0.0,0.6,0.6,0.12,-0.6,-0.6,46.0,28.0,25.0,17.0,4.0,16.0,36.0,44.4,20.0,27.0,6.0,21.0,23.0,69.0,29.0,0.0,57.0,38.5,16.0,75.0,6.0,7.0,18.0,7.0,1.83,21.0,13.0,8.0,0.55,0.46,16.2,14.4,1.8,0.13,0.01,1157.0,49.0,316.0,723.0,131.0,3.0,1157.0,18.0,10.0,55.6,7.0,38.9,575.0,3079.0,1311.0,21.0,11.0,1.0
Amir Rrahmani,29.0,Defender,Serie A,Napoli,30.0,30.0,2600.0,28.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.9,3.1,19.0,113.0,4.0,0.1,0.0,0.1,0.1,0.1,0.08,0.03,0.11,0.08,0.11,28.9,43.0,1.49,34.0,0.0,1.0,4.0,1.0,3.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,2028.0,2255.0,89.9,39408.0,13051.0,735.0,776.0,94.7,1008.0,1067.0,94.5,260.0,366.0,71.0,0.0,0.9,0.7,-0.9,14.0,153.0,3.0,0.0,113.0,0.0,19.0,7.0,2.0,4.0,20.0,27.0,0.0,1.0,0.0,140.0,79.0,46.0,63.2,3.0,25.0,8.0,32.0,0.87,0.28,0.12,0.38,12.0,0.0,0.0,0.0,2.2,2.2,0.09,0.8,0.8,33.0,27.0,17.0,14.0,2.0,16.0,32.0,50.0,16.0,24.0,10.0,14.0,20.0,53.0,90.0,0.0,87.0,76.0,30.0,87.0,27.0,0.0,0.0,3.0,1.43,39.0,39.0,0.0,0.0,-0.77,44.5,30.3,14.2,0.49,-0.48,2477.0,209.0,973.0,1399.0,116.0,40.0,2477.0,15.0,10.0,66.7,3.0,20.0,1557.0,7914.0,4596.0,19.0,15.0,1.0
Ruan,24.0,Defender,Serie A,Sassuolo,26.0,16.0,1516.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,0.6,1.1,8.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,16.8,9.0,0.53,7.0,0.0,0.0,0.0,1.0,1.0,2.0,0.12,1.0,0.0,0.0,0.0,1.0,0.0,593.0,698.0,85.0,11580.0,3616.0,190.0,218.0,87.2,327.0,367.0,89.1,66.0,91.0,72.5,0.0,0.6,0.4,-0.6,4.0,22.0,3.0,0.0,33.0,1.0,23.0,12.0,0.0,2.0,24.0,15.0,1.0,1.0,0.0,80.0,34.0,27.0,55.7,0.0,7.0,2.0,28.6,0.42,0.12,0.0,0.0,10.6,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,25.0,15.0,11.0,10.0,4.0,10.0,18.0,55.6,8.0,18.0,15.0,3.0,24.0,49.0,68.0,2.0,58.0,44.3,16.0,77.0,9.0,10.0,29.0,7.0,0.73,21.0,43.0,-22.0,-1.31,-0.83,17.0,35.0,-18.0,-1.07,-0.89,853.0,128.0,460.0,359.0,43.0,16.0,853.0,4.0,2.0,50.0,2.0,50.0,418.0,2099.0,978.0,8.0,4.0,0.0
Pelly Ruddock Mpanzu,30.0,Midfielder,Premier League,Luton Town,27.0,11.0,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.1,10.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,12.2,19.0,1.55,12.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,364.0,73.6,4413.0,1102.0,123.0,141.0,87.2,110.0,143.0,76.9,16.0,36.0,44.4,0.0,0.4,1.4,-0.4,6.0,17.0,13.0,2.0,34.0,0.0,9.0,14.0,0.0,11.0,9.0,5.0,0.0,0.0,0.0,54.0,12.0,19.0,38.7,0.0,11.0,1.0,9.1,0.9,0.08,0.0,0.0,19.7,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,13.0,5.0,6.0,6.0,1.0,5.0,9.0,55.6,4.0,15.0,7.0,8.0,9.0,22.0,16.0,3.0,41.0,32.2,11.0,74.0,3.0,16.0,18.0,11.0,0.7,13.0,29.0,-16.0,-1.31,-0.65,11.0,28.9,-17.9,-1.47,-0.79,481.0,30.0,114.0,240.0,130.0,15.0,481.0,16.0,9.0,56.3,6.0,37.5,235.0,961.0,378.0,10.0,7.0,5.0
Antonio Rüdiger,30.0,Defender,La Liga,Real Madrid,33.0,30.0,2709.0,30.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.2,2.6,17.0,88.0,1.0,0.03,0.0,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,30.1,21.0,0.7,16.0,0.0,0.0,5.0,0.0,0.0,5.0,0.17,4.0,0.0,0.0,1.0,0.0,0.0,1630.0,1815.0,89.8,30058.0,11111.0,625.0,654.0,95.6,860.0,908.0,94.7,130.0,219.0,59.4,0.0,1.2,1.0,-1.2,5.0,90.0,11.0,2.0,88.0,0.0,26.0,5.0,1.0,4.0,11.0,15.0,0.0,0.0,0.0,124.0,49.0,23.0,68.1,1.0,19.0,2.0,10.5,0.63,0.07,0.05,0.5,16.0,0.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5,26.0,15.0,18.0,4.0,4.0,16.0,20.0,80.0,4.0,27.0,20.0,7.0,11.0,37.0,89.0,0.0,82.0,79.2,30.0,88.0,28.0,3.0,25.0,1.0,2.55,65.0,23.0,42.0,1.4,-1.01,54.3,28.0,26.3,0.87,-0.03,2022.0,275.0,1000.0,964.0,65.0,25.0,2022.0,3.0,1.0,33.3,2.0,66.7,1337.0,6743.0,4149.0,17.0,10.0,1.0
Fabian Rüdlin,26.0,Midfielder,Bundesliga,Freiburg,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,89.0,35.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.2,0.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,1.0,-1.0,-12.86,-12.5,0.0,0.2,-0.2,-2.66,-2.64,6.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
Javier Rueda Garcia,21.0,Midfielder,La Liga,Celta Vigo,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,87.5,268.0,73.0,4.0,5.0,80.0,7.0,8.0,87.5,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.1,-0.1,-0.37,-0.27,17.0,0.0,6.0,8.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,4.0,0.0,1.0,0.0
Daniele Rugani,29.0,Defender,Serie A,Juventus,17.0,13.0,1187.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,2.0,46.0,2.0,0.15,0.0,0.15,0.15,0.15,0.12,0.03,0.15,0.12,0.15,13.2,12.0,0.91,9.0,0.0,0.0,2.0,0.0,1.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,564.0,636.0,88.7,10905.0,3696.0,163.0,176.0,92.6,355.0,378.0,93.9,44.0,70.0,62.9,0.0,0.4,0.1,-0.4,3.0,54.0,1.0,0.0,46.0,0.0,15.0,3.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,44.0,25.0,24.0,51.0,2.0,8.0,2.0,25.0,0.61,0.15,0.25,1.0,7.3,0.0,0.0,0.0,1.6,1.6,0.3,0.4,0.4,11.0,9.0,7.0,3.0,1.0,4.0,5.0,80.0,1.0,11.0,4.0,7.0,9.0,20.0,42.0,0.0,70.0,34.7,13.0,87.0,10.0,4.0,14.0,21.0,2.18,19.0,10.0,9.0,0.68,0.12,19.4,9.2,10.2,0.77,0.2,738.0,69.0,329.0,373.0,40.0,12.0,738.0,0.0,0.0,0.0,0.0,0.0,451.0,2006.0,899.0,2.0,4.0,0.0
Matteo Ruggeri,21.0,Defender,Serie A,Atalanta,34.0,28.0,2449.0,27.2,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.8,2.3,55.0,142.0,132.0,0.0,0.15,0.15,0.0,0.15,0.02,0.07,0.08,0.02,0.08,27.2,64.0,2.35,56.0,4.0,2.0,1.0,0.0,1.0,11.0,0.4,9.0,2.0,0.0,0.0,0.0,0.0,1250.0,1562.0,80.0,19172.0,6806.0,697.0,780.0,89.4,462.0,560.0,82.5,68.0,148.0,45.9,4.0,1.8,2.1,2.2,24.0,86.0,31.0,23.0,142.0,0.0,21.0,9.0,2.0,101.0,23.0,15.0,0.0,1.0,0.0,171.0,49.0,36.0,57.6,0.0,12.0,4.0,33.3,0.44,0.15,0.0,0.0,16.9,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,29.0,15.0,14.0,7.0,8.0,16.0,30.0,53.3,14.0,46.0,4.0,42.0,23.0,52.0,44.0,0.0,72.0,71.6,28.0,80.0,7.0,6.0,33.0,3.0,1.82,55.0,31.0,24.0,0.88,0.33,40.0,27.1,12.9,0.47,0.13,1799.0,57.0,488.0,787.0,539.0,25.0,1799.0,41.0,21.0,51.2,16.0,39.0,862.0,4276.0,2186.0,55.0,40.0,5.0
Mário Rui,32.0,Defender,Serie A,Napoli,21.0,14.0,1205.0,13.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.1,0.1,1.9,2.0,33.0,90.0,59.0,0.0,0.15,0.15,0.0,0.15,0.01,0.14,0.15,0.01,0.15,13.4,41.0,3.06,25.0,13.0,0.0,0.0,3.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,860.0,1068.0,80.5,15400.0,5240.0,369.0,406.0,90.9,366.0,434.0,84.3,99.0,181.0,54.7,2.0,1.9,1.8,0.1,26.0,89.0,19.0,7.0,90.0,1.0,16.0,28.0,1.0,62.0,15.0,15.0,0.0,1.0,0.0,57.0,10.0,27.0,27.0,0.0,5.0,2.0,40.0,0.37,0.15,0.0,0.0,31.7,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,27.0,15.0,17.0,5.0,5.0,14.0,21.0,66.7,7.0,17.0,2.0,15.0,15.0,42.0,19.0,0.0,57.0,35.2,14.0,75.0,5.0,7.0,22.0,10.0,1.52,22.0,19.0,3.0,0.22,0.06,22.6,14.3,8.3,0.62,0.02,1185.0,33.0,294.0,647.0,251.0,8.0,1185.0,9.0,3.0,33.3,4.0,44.4,623.0,2907.0,1775.0,33.0,21.0,1.0
Aitor Ruibal,27.0,Defender,La Liga,Betis,18.0,11.0,1017.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,1.3,2.1,22.0,54.0,50.0,0.18,0.09,0.27,0.18,0.27,0.07,0.11,0.19,0.07,0.19,11.3,33.0,2.92,27.0,1.0,2.0,1.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,445.0,586.0,75.9,7163.0,2899.0,252.0,280.0,90.0,148.0,190.0,77.9,37.0,79.0,46.8,1.0,1.3,0.8,-0.3,11.0,37.0,14.0,3.0,54.0,0.0,16.0,13.0,1.0,28.0,14.0,27.0,0.0,1.0,0.0,78.0,4.0,9.0,30.8,2.0,13.0,2.0,15.4,1.15,0.18,0.15,1.0,22.1,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,46.0,27.0,28.0,13.0,5.0,32.0,59.0,54.2,27.0,12.0,1.0,11.0,14.0,60.0,33.0,1.0,57.0,29.7,11.0,76.0,6.0,7.0,26.0,13.0,1.33,14.0,16.0,-2.0,-0.18,-0.36,13.2,19.4,-6.1,-0.54,-0.53,744.0,36.0,232.0,318.0,209.0,25.0,744.0,45.0,27.0,60.0,14.0,31.1,380.0,1932.0,1016.0,22.0,15.0,9.0
Fabián Ruiz Peña,27.0,Midfielder,Ligue 1,Paris S-G,21.0,14.0,1197.0,13.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.2,3.1,16.0,78.0,40.0,0.08,0.23,0.3,0.08,0.3,0.15,0.09,0.24,0.15,0.24,13.3,40.0,3.01,32.0,1.0,5.0,2.0,0.0,0.0,6.0,0.45,4.0,1.0,1.0,0.0,0.0,0.0,778.0,872.0,89.2,13193.0,2887.0,347.0,378.0,91.8,352.0,386.0,91.2,54.0,70.0,77.1,3.0,1.2,1.5,1.8,18.0,53.0,17.0,2.0,78.0,0.0,6.0,11.0,1.0,11.0,11.0,23.0,0.0,0.0,0.0,83.0,4.0,8.0,33.3,1.0,19.0,6.0,31.6,1.43,0.45,0.05,0.17,21.7,0.0,0.0,0.0,2.0,2.0,0.1,-1.0,-1.0,34.0,23.0,17.0,14.0,3.0,23.0,42.0,54.8,19.0,8.0,2.0,6.0,11.0,45.0,21.0,2.0,57.0,39.1,14.0,76.0,8.0,7.0,19.0,7.0,2.52,30.0,12.0,18.0,1.35,-0.1,28.6,15.0,13.5,1.02,0.28,987.0,47.0,226.0,558.0,220.0,20.0,987.0,20.0,16.0,80.0,2.0,10.0,812.0,3729.0,1523.0,16.0,25.0,1.0
